Treasure Values per Encounter
1| 300 gp
2| 600 gp
3| 900 gp 
4| 1,200 gp
5| 1,600 gp
6| 2,000 gp
7| 2,600 gp
8| 3,400 gp
9| 4,500 gp
10| 5,800 gp
11| 7,500 gp
12| 9,800 gp
13| 13,000 gp
14| 17,000 gp
15| 22,000 gp
16| 28,000 gp
17| 36,000 gp
18| 47,000 gp
19| 61,000 gp
20| 80,000 gp

Treasure Values per Encounter
Gem| 275 gp
Art object| 1,100 gp
Mundane item| 350 gp
Minor magic item| 1,000 gp
Medium magic item| 10,000 gp
Major magic item| 40,000 gp

Level d%
Coins d%
Goods d%
Items 1st
01-14| —
15-29| 1d6 × 1,000 cp
30-52| 1d8 × 100 sp
53-95| 2d8 × 10 gp
96-100| 1d4 × 10 pp
01-90| —
91-95| 1 gem
96-100| 1 art
01-71| — 
72-95| 1 mundane
96-100| 1 minor

2nd
01-13| —
14-23| 1d10 × 1,000 cp
24-43| 2d10 × 100 sp
44-95| 4d10 × 10 gp
96-100| 2d8 × 10 pp
01-81| —
82-95| 1d3 gems
96-100| 1d3 art
01-49| —
50-85| 1 mundane
86-100| 1 minor

3rd
01-11| —
12-21| 2d10 × 1,000 cp
22-41| 4d8 × 100 sp
42-95| 1d4 × 100 gp
96-100| 1d10 × 10 pp
01-77| —
78-95| 1d3 gems
96-100| 1d3 art
01-49| — 
50-79| 1d3 mundane
80-100| 1 minor

4th
01-11| —
12-21| 3d10 × 1,000 cp
22-41| 4d12 × 1,000 sp
42-95| 1d6 × 100 gp
96-100| 1d8 × 10 pp
01-70| —
71-95| 1d4 gems
96-100| 1d3 art
01-42| — 
43-62| 1d4 mundane 
63-100| 1 minor 

5th
01-10| —
11-19| 1d4 × 10,000 cp
20-38| 1d6 × 1,000 sp
39-95| 1d8 × 100 gp
96-100| 1d10 × 10 pp
01-60| —
61-95| 1d4 gems
96-100| 1d4 art
01-57| — 
58-67| 1d4 mundane 
68-100| 1d3 minor 

6th
01-10| —
11-18| 1d6 × 10,000 cp
19-37| 1d8 × 1,000 sp
38-95| 1d10 × 100 gp
96-100| 1d12 × 10 pp
01-56| —
57-92| 1d4 gems
93-100| 1d4 art
01-54| — 
55-59| 1d4 mundane
60-99| 1d3 minor 
